Município1,Código Município IBGE,População estimada (2020),UF1,day.of.week,date,Média de Índice De Isolamento..
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-04-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-03-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-02-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-01-09,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-31-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-30-08,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-29-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-28-08,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-27-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-26-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-25-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-24-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-23-08,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-22-08,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-21-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-20-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-19-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-18-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-17-08,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-16-08,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-15-08,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-14-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-13-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-12-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-11-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-10-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-09-08,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-08-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-07-08,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-06-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-05-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-04-08,0.39
